nohut chickpea
zafer victory
kitap book
abaküs abacus
eylül september
jelatin gelatin
hostes stewardess
zeytin olive
hedef target
ýsý heat
mide stomach
yudum sip
pabuç shoe
muamele treatment
sicil register
zor difficult
loþ gloomy
çýkar dismiss
bitki plant
japon japanese
ihanet treachery
kubbe dome
yaz summer
þube branch
zulüm wrong
numara number
radyo radio
uyanýk awake
ördek duck
gizlilik secrecy
fonograf phonograph
üzüm grape
üvey step
vahþet wildness
soba stove
poligon polygon
tacir merchant
eczane drugstore
ýhlamur lime
zehir poison
umut hope
doða nature
oylama voting
roket rocket
aracý intermediary
bilgisayar computer
termos thermos
aþçýbaþý chef
þýmarýk spoiled
çiçek flower
nabýz pulse
orak sickle
þikayet complaint
kum sand
sebeb cause
buz ice
üretim production
týr banister
fabrika factory
utanç shame
izafiyet relativity
gider expense
yemek food
ömür life
pýnar spring
mucit inventor
avantaj advantage
diðer other
judo judo
fulya jonquil
ölü dead
korku fear
pil battery
ýrgat labourer
nida shout
þah shah
gezegen planet
lider leader
belge document
silindir cylinder
guatr goitre
icat invention
uranyum uranium
hobi hobby
výzýltý buzz
ulaþmak reach
ehemmiyet importance
dublaj dubbing
olaðan usual
pelikan pelican
özdeþ same
korsan pirate
ada island
tokat slap
ünite unity
tebeþir chalk
tümleþik combinatorial
reçel jam
vurgu stress
veli guardian
